0: GOAL CORRECTION ACTIVE
1: GOAL CORRECTION ACTIVE
2: GOAL CORRECTION ACTIVE
3: GOAL CORRECTION ACTIVE
4: GOAL CORRECTION ACTIVE
5: GOAL CORRECTION ACTIVE
6: GOAL CORRECTION ACTIVE
7: GOAL CORRECTION ACTIVE
8: GOAL CORRECTION ACTIVE
9: GOAL CORRECTION ACTIVE
10: GOAL CORRECTION ACTIVE
11: GOAL CORRECTION ACTIVE
12: GOAL CORRECTION ACTIVE
13: GOAL CORRECTION ACTIVE
14: GOAL CORRECTION ACTIVE
15: GOAL CORRECTION ACTIVE
16: GOAL CORRECTION ACTIVE
17: GOAL CORRECTION ACTIVE
18: GOAL CORRECTION ACTIVE
19: GOAL CORRECTION ACTIVE
20: GOAL CORRECTION ACTIVE
21: GOAL CORRECTION ACTIVE
22: GOAL CORRECTION ACTIVE
23: GOAL CORRECTION ACTIVE
24: GOAL CORRECTION ACTIVE
25: GOAL CORRECTION ACTIVE
26: GOAL CORRECTION ACTIVE
27: GOAL CORRECTION ACTIVE
28: GOAL CORRECTION ACTIVE
29: GOAL CORRECTION ACTIVE
30: GOAL CORRECTION ACTIVE
31: GOAL CORRECTION ACTIVE
32: GOAL CORRECTION ACTIVE
33: GOAL CORRECTION ACTIVE
34: GOAL CORRECTION ACTIVE
35: GOAL CORRECTION ACTIVE
36: GOAL CORRECTION ACTIVE
37: GOAL CORRECTION ACTIVE
38: GOAL CORRECTION ACTIVE
39: GOAL CORRECTION ACTIVE
40: GOAL CORRECTION ACTIVE
41: GOAL CORRECTION ACTIVE
42: GOAL CORRECTION ACTIVE
43: GOAL CORRECTION ACTIVE
44: GOAL CORRECTION ACTIVE
92-> l_obs : x: -39.225235, z: -39.225235 -> obstacle = True, obs_left = 8, obs_right = 0
93-> l_obs : x: -39.225235, z: -39.225235 -> obstacle = True, obs_left = 5, obs_right = 0
94-> l_obs : x: -39.225235, z: -39.225235 -> obstacle = True, obs_left = 7, obs_right = 0
95-> l_obs : x: -39.225235, z: -39.225235 -> obstacle = True, obs_left = 6, obs_right = 0
96-> l_obs : x: -39.225235, z: -39.225235 -> obstacle = True, obs_left = 6, obs_right = 0
97-> l_obs : x: -39.225235, z: -39.225235 -> obstacle = True, obs_left = 5, obs_right = 0
98-> l_obs : x: -39.225235, z: -39.225235 -> obstacle = True, obs_left = 6, obs_right = 0
99-> l_obs : x: -39.225235, z: -39.225235 -> obstacle = True, obs_left = 3, obs_right = 0
100-> l_obs : x: -39.225235, z: -39.225235 -> obstacle = True, obs_left = 4, obs_right = 0
101-> l_obs : x: -39.225235, z: -39.225235 -> obstacle = True, obs_left = 5, obs_right = 0
102-> l_obs : x: -39.225235, z: -39.225235 -> obstacle = True, obs_left = 5, obs_right = 0
103-> l_obs : x: -39.225235, z: -39.225235 -> obstacle = True, obs_left = 4, obs_right = 0
104-> l_obs : x: -39.225235, z: -39.225235 -> obstacle = True, obs_left = 3, obs_right = 0
105-> l_obs : x: -39.225235, z: -39.225235 -> obstacle = True, obs_left = 3, obs_right = 0
106-> l_obs : x: -39.225235, z: -39.225235 -> obstacle = True, obs_left = 4, obs_right = 0
107-> l_obs : x: -39.225235, z: -39.225235 -> obstacle = True, obs_left = 2, obs_right = 0
108-> l_obs : x: -39.225235, z: -39.225235 -> obstacle = True, obs_left = 2, obs_right = 0
109-> l_obs : x: -39.225235, z: -39.225235 -> obstacle = True, obs_left = 2, obs_right = 0
110-> w_gen : x: -39.225235, z: -39.225235 -> obstacle = False, obs_left = 0, obs_right = 0
111-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 6, obs_right = 0
112-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 5, obs_right = 0
113-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 4, obs_right = 0
114-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 5, obs_right = 0
115-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 3, obs_right = 0
116-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 3, obs_right = 0
117-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 3, obs_right = 0
118-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 2, obs_right = 0
119-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 2, obs_right = 0
120-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 2, obs_right = 0
121-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 2, obs_right = 0
122-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 1, obs_right = 0
123-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 2, obs_right = 0
124-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 1, obs_right = 0
125-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 1, obs_right = 6
126-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 2, obs_right = 12
127-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 3, obs_right = 14
128-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 3, obs_right = 21
129-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 2, obs_right = 24
130-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 4, obs_right = 28
131-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 4, obs_right = 36
132-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 1, obs_right = 36
133-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 4, obs_right = 42
134-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 1, obs_right = 48
135-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 2, obs_right = 48
136-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 1, obs_right = 54
137-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 2, obs_right = 60
138-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 2, obs_right = 60
139-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 1, obs_right = 59
140-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 0, obs_right = 60
141-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 1, obs_right = 56
142-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 1, obs_right = 56
143-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 0, obs_right = 60
144-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 0, obs_right = 54
145-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 0, obs_right = 53
146-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 0, obs_right = 58
147-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 0, obs_right = 52
148-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 0, obs_right = 52
149-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 0, obs_right = 57
150-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 0, obs_right = 50
151-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 0, obs_right = 51
152-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 0, obs_right = 55
153-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 0, obs_right = 50
154-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 2, obs_right = 48
155-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 9, obs_right = 44
156-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 12, obs_right = 38
157-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 13, obs_right = 36
158-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 20, obs_right = 32
159-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 24, obs_right = 26
160-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 25, obs_right = 24
161-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 31, obs_right = 21
162-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 36, obs_right = 14
163-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 36, obs_right = 12
164-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 43, obs_right = 9
165-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 48, obs_right = 3
166-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 49, obs_right = 0
167-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 55, obs_right = 0
168-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 52, obs_right = 0
169-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 49, obs_right = 0
170-> l_obs : x: -39.164845, z: -38.99985 -> obstacle = True, obs_left = 56, obs_right = 0
