(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-20.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-21.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-22.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-23.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-24.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-25.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-26.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-28.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-29.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-30.yaml')
